case_id,aoa_deg,processing,x_mm,y_mm,y_relative_mm,u_rms_ms,v_rms_ms,speed_rms_ms,valid
aoa0,0,Overlap50MP3,-122.1115597486,-3.1105364561,-58.1105364561,0.1010990204,0.0885269444,0.134380176405005,1
aoa0,0,Overlap50MP3,-122.1115597486,-4.888312459,-59.888312459,0.1112746911,0.071630124,0.132336433168103,1
aoa0,0,Overlap50MP3,-122.1115597486,-6.6660884619,-61.6660884619,0.0885312794,0.0826316057,0.121102310848147,1
aoa0,0,Overlap50MP3,-122.1115597486,-8.4438644648,-63.4438644648,0.183372993,0.1339442682,0.22708307190412,1
aoa0,0,Overlap50MP3,-120.3337837458,126.6671117544,71.6671117544,0,0,0,0
aoa0,0,Overlap50MP3,-120.3337837458,124.8893357515,69.8893357515,0.1877507976,0.1846986468,0.263370370636462,1
aoa0,0,Overlap50MP3,-120.3337837458,123.1115597486,68.1115597486,0.2051618475,0.1501750175,0.25425168544326,1
aoa0,0,Overlap50MP3,-120.3337837458,121.3337837458,66.3337837458,0.2001889143,0.1970372771,0.28089017422401,1
aoa0,0,Overlap50MP3,-120.3337837458,119.5560077429,64.5560077429,0.1979867441,0.2113417511,0.289592967106132,1
aoa0,0,Overlap50MP3,-120.3337837458,117.77823174,62.77823174,0.256222147,0.1966979516,0.323016830485542,1
aoa0,0,Overlap50MP3,-120.3337837458,116.0004557371,61.0004557371,0.3248154353,0.1915013222,0.377064746977859,1
aoa0,0,Overlap50MP3,-120.3337837458,114.2226797342,59.2226797342,0.3199259127,0.2118871197,0.383730036759817,1
aoa0,0,Overlap50MP3,-120.3337837458,112.4449037313,57.4449037313,0.3212435231,0.2170586677,0.387700743302614,1
